title,published_date,category,rank,date_datetime
HOW COUNTRIES GO BROKE,2025-06-22,business & economics,1,2025-06-22 17:34:46.978746
ORIGINAL SIN,2025-06-22,political science,2,2025-06-22 17:34:46.978746
A DIFFERENT KIND OF POWER,2025-06-22,biography & autobiography,3,2025-06-22 17:34:46.978746
THIS DOG WILL CHANGE YOUR LIFE,2025-06-22,pets,4,2025-06-22 17:34:46.978746
TRUMP'S TRIUMPH,2025-06-22,history,5,2025-06-22 17:34:46.978746
HOW TO LOSE YOUR MOTHER,2025-06-22,biography & autobiography,6,2025-06-22 17:34:46.978746
THE ANXIOUS GENERATION,2025-06-22,psychology,7,2025-06-22 17:34:46.978746
MARK TWAIN,2025-06-22,biography & autobiography,8,2025-06-22 17:34:46.978746
THE BODY KEEPS THE SCORE,2025-06-22,medical,9,2025-06-22 17:34:46.978746
SO GAY FOR YOU,2025-06-22,biography & autobiography,10,2025-06-22 17:34:46.978746
FREE RIDE,2025-06-22,biography & autobiography,11,2025-06-22 17:34:46.978746
ABUNDANCE,2025-06-22,business & economics,12,2025-06-22 17:34:46.978746
THE DISENLIGHTENMENT,2025-06-22,art,13,2025-06-22 17:34:46.978746
THE HAVES AND HAVE-YACHTS,2025-06-22,history,14,2025-06-22 17:34:46.978746
BIG DUMB EYES,2025-06-22,biography & autobiography,15,2025-06-22 17:34:46.978746
THE FATE OF THE DAY,2025-05-18,history,1,2025-05-18 17:34:46.978746
MY NEXT BREATH,2025-05-18,biography & autobiography,2,2025-05-18 17:34:46.978746
MATRIARCH,2025-05-18,biography & autobiography,3,2025-05-18 17:34:46.978746
UPTOWN GIRL,2025-05-18,biography & autobiography,4,2025-05-18 17:34:46.978746
ABUNDANCE,2025-05-18,business & economics,5,2025-05-18 17:34:46.978746
THE ANXIOUS GENERATION,2025-05-18,psychology,6,2025-05-18 17:34:46.978746
THE BIBLE SAYS SO,2025-05-18,religion,7,2025-05-18 17:34:46.978746
THE GREATEST COMEBACK EVER,2025-05-18,biography & autobiography,8,2025-05-18 17:34:46.978746
THE BODY KEEPS THE SCORE,2025-05-18,medical,9,2025-05-18 17:34:46.978746
ON TYRANNY,2025-05-18,political science,10,2025-05-18 17:34:46.978746
SNAFU,2025-05-18,history,11,2025-05-18 17:34:46.978746
EVERYTHING IS TUBERCULOSIS,2025-05-18,social science,12,2025-05-18 17:34:46.978746
THIS AMERICAN WOMAN,2025-05-18,biography & autobiography,13,2025-05-18 17:34:46.978746
POETS SQUARE,2025-05-18,biography & autobiography,14,2025-05-18 17:34:46.978746
OUTLIVE,2025-05-18,health & fitness,15,2025-05-18 17:34:46.978746
EVERYTHING IS TUBERCULOSIS,2025-04-13,social science,1,2025-04-13 17:34:46.978746
CARELESS PEOPLE,2025-04-13,biography & autobiography,2,2025-04-13 17:34:46.978746
ABUNDANCE,2025-04-13,business & economics,3,2025-04-13 17:34:46.978746
THE ANXIOUS GENERATION,2025-04-13,psychology,4,2025-04-13 17:34:46.978746
WHEN THE GOING WAS GOOD,2025-04-13,biography & autobiography,5,2025-04-13 17:34:46.978746
THE BODY KEEPS THE SCORE,2025-04-13,medical,6,2025-04-13 17:34:46.978746
THE ECHO MACHINE,2025-04-13,political science,7,2025-04-13 17:34:46.978746
ON TYRANNY,2025-04-13,political science,8,2025-04-13 17:34:46.978746
THE TELL,2025-04-13,biography & autobiography,9,2025-04-13 17:34:46.978746
THE WAGER,2025-04-13,true crime,10,2025-04-13 17:34:46.978746
DISSOLVING ILLUSIONS,2025-04-13,communicable diseases,11,2025-04-13 17:34:46.978746
MAD HOUSE,2025-04-13,political science,12,2025-04-13 17:34:46.978746
WHO IS GOVERNMENT?,2025-04-13,political science,13,2025-04-13 17:34:46.978746
THE HOUSE OF MY MOTHER,2025-04-13,biography & autobiography,14,2025-04-13 17:34:46.978746
THE BACKYARD BIRD CHRONICLES,2025-04-13,nature,15,2025-04-13 17:34:46.978746
THE TECHNOLOGICAL REPUBLIC,2025-03-09,business & economics,1,2025-03-09 17:34:46.978746
SEVEN THINGS YOU CAN'T SAY ABOUT CHINA,2025-03-09,political science,2,2025-03-09 17:34:46.978746
ON TYRANNY,2025-03-09,political science,3,2025-03-09 17:34:46.978746
LORNE,2025-03-09,biography & autobiography,4,2025-03-09 17:34:46.978746
THE BODY KEEPS THE SCORE,2025-03-09,medical,5,2025-03-09 17:34:46.978746
THE ANXIOUS GENERATION,2025-03-09,psychology,6,2025-03-09 17:34:46.978746
HILLBILLY ELEGY,2025-03-09,social science,7,2025-03-09 17:34:46.978746
HERE BE DRAGONS,2025-03-09,religion,8,2025-03-09 17:34:46.978746
SOURCE CODE,2025-03-09,biography & autobiography,9,2025-03-09 17:34:46.978746
"MONEY, LIES, AND GOD",2025-03-09,history,10,2025-03-09 17:34:46.978746
OUTLIVE,2025-03-09,health & fitness,11,2025-03-09 17:34:46.978746
THE SERVICEBERRY,2025-03-09,nature,12,2025-03-09 17:34:46.978746
MEMORIAL DAYS,2025-03-09,biography & autobiography,13,2025-03-09 17:34:46.978746
THE SIRENS' CALL,2025-03-09,political science,14,2025-03-09 17:34:46.978746
THE HOUSE OF MY MOTHER,2025-03-09,biography & autobiography,15,2025-03-09 17:34:46.978746
THE HOUSE OF MY MOTHER,2025-02-02,biography & autobiography,1,2025-02-02 17:34:46.978746
THE ANXIOUS GENERATION,2025-02-02,psychology,2,2025-02-02 17:34:46.978746
THE JFK CONSPIRACY,2025-02-02,biography & autobiography,3,2025-02-02 17:34:46.978746
THE BODY KEEPS THE SCORE,2025-02-02,medical,4,2025-02-02 17:34:46.978746
BROOKE SHIELDS IS NOT ALLOWED TO GET OLD,2025-02-02,biography & autobiography,5,2025-02-02 17:34:46.978746
ALL THE PRESIDENT'S MONEY,2025-02-02,political science,6,2025-02-02 17:34:46.978746
HOPE,2025-02-02,religion,7,2025-02-02 17:34:46.978746
MELANIA,2025-02-02,biography & autobiography,8,2025-02-02 17:34:46.978746
THE SERVICEBERRY,2025-02-02,nature,9,2025-02-02 17:34:46.978746
BE READY WHEN THE LUCK HAPPENS,2025-02-02,biography & autobiography,10,2025-02-02 17:34:46.978746
"CHER: THE MEMOIR, PART ONE",2025-02-02,biography & autobiography,11,2025-02-02 17:34:46.978746
FRAMED,2025-02-02,true crime,12,2025-02-02 17:34:46.978746
OUTLIVE,2025-02-02,health & fitness,13,2025-02-02 17:34:46.978746
ON TYRANNY,2025-02-02,political science,14,2025-02-02 17:34:46.978746
GREENLIGHTS,2025-02-02,biography & autobiography,15,2025-02-02 17:34:46.978746
MELANIA,2024-12-29,biography & autobiography,1,2024-12-29 17:34:46.978746
THE BACKYARD BIRD CHRONICLES,2024-12-29,nature,2,2024-12-29 17:34:46.978746
"CHER: THE MEMOIR, PART ONE",2024-12-29,biography & autobiography,3,2024-12-29 17:34:46.978746
BE READY WHEN THE LUCK HAPPENS,2024-12-29,biography & autobiography,4,2024-12-29 17:34:46.978746
FRAMED,2024-12-29,true crime,5,2024-12-29 17:34:46.978746
THE ANXIOUS GENERATION,2024-12-29,psychology,6,2024-12-29 17:34:46.978746
THE SERVICEBERRY,2024-12-29,nature,7,2024-12-29 17:34:46.978746
CONFRONTING THE PRESIDENTS,2024-12-29,biography & autobiography,8,2024-12-29 17:34:46.978746
THE DEMON OF UNREST,2024-12-29,history,9,2024-12-29 17:34:46.978746
REVENGE OF THE TIPPING POINT,2024-12-29,business & economics,10,2024-12-29 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-12-29,medical,11,2024-12-29 17:34:46.978746
FROM HERE TO THE GREAT UNKNOWN,2024-12-29,biography & autobiography,12,2024-12-29 17:34:46.978746
HILLBILLY ELEGY,2024-12-29,social science,13,2024-12-29 17:34:46.978746
NEXUS,2024-12-29,history,14,2024-12-29 17:34:46.978746
THE WAGER,2024-12-29,true crime,15,2024-12-29 17:34:46.978746
MELANIA,2024-11-24,biography & autobiography,1,2024-11-24 17:34:46.978746
FRAMED,2024-11-24,true crime,2,2024-11-24 17:34:46.978746
HILLBILLY ELEGY,2024-11-24,social science,3,2024-11-24 17:34:46.978746
WAR,2024-11-24,biography & autobiography,4,2024-11-24 17:34:46.978746
ON TYRANNY,2024-11-24,political science,5,2024-11-24 17:34:46.978746
BE READY WHEN THE LUCK HAPPENS,2024-11-24,biography & autobiography,6,2024-11-24 17:34:46.978746
CONFRONTING THE PRESIDENTS,2024-11-24,biography & autobiography,7,2024-11-24 17:34:46.978746
THE ANXIOUS GENERATION,2024-11-24,psychology,8,2024-11-24 17:34:46.978746
FROM HERE TO THE GREAT UNKNOWN,2024-11-24,biography & autobiography,9,2024-11-24 17:34:46.978746
REVENGE OF THE TIPPING POINT,2024-11-24,business & economics,10,2024-11-24 17:34:46.978746
THE MESSAGE,2024-11-24,social science,11,2024-11-24 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-11-24,medical,12,2024-11-24 17:34:46.978746
PATRIOT,2024-11-24,biography & autobiography,13,2024-11-24 17:34:46.978746
BROTHERS,2024-11-24,biography & autobiography,14,2024-11-24 17:34:46.978746
AMERICAN HEROES,2024-11-24,biography & autobiography,15,2024-11-24 17:34:46.978746
BE READY WHEN THE LUCK HAPPENS,2024-10-20,biography & autobiography,1,2024-10-20 17:34:46.978746
REVENGE OF THE TIPPING POINT,2024-10-20,business & economics,2,2024-10-20 17:34:46.978746
THE MESSAGE,2024-10-20,social science,3,2024-10-20 17:34:46.978746
BLACK SATURDAY,2024-10-20,biography & autobiography,4,2024-10-20 17:34:46.978746
HILLBILLY ELEGY,2024-10-20,social science,5,2024-10-20 17:34:46.978746
CONFRONTING THE PRESIDENTS,2024-10-20,biography & autobiography,6,2024-10-20 17:34:46.978746
THE ANXIOUS GENERATION,2024-10-20,psychology,7,2024-10-20 17:34:46.978746
NEXUS,2024-10-20,history,8,2024-10-20 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-10-20,medical,9,2024-10-20 17:34:46.978746
TRUTHS,2024-10-20,political science,10,2024-10-20 17:34:46.978746
THE SMALL AND THE MIGHTY,2024-10-20,history,11,2024-10-20 17:34:46.978746
"SOMETHING LOST, SOMETHING GAINED",2024-10-20,biography & autobiography,12,2024-10-20 17:34:46.978746
AMERICA'S DEADLIEST ELECTION,2024-10-20,history,13,2024-10-20 17:34:46.978746
TARGETED: BEIRUT,2024-10-20,history,14,2024-10-20 17:34:46.978746
ABORTION,2024-10-20,social science,15,2024-10-20 17:34:46.978746
THE ANXIOUS GENERATION,2024-09-15,psychology,1,2024-09-15 17:34:46.978746
AT WAR WITH OURSELVES,2024-09-15,biography & autobiography,2,2024-09-15 17:34:46.978746
HILLBILLY ELEGY,2024-09-15,social science,3,2024-09-15 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-09-15,medical,4,2024-09-15 17:34:46.978746
WHAT'S NEXT,2024-09-15,performing arts,5,2024-09-15 17:34:46.978746
IMMINENT,2024-09-15,biography & autobiography,6,2024-09-15 17:34:46.978746
THE ART OF POWER,2024-09-15,biography & autobiography,7,2024-09-15 17:34:46.978746
THE DEMON OF UNREST,2024-09-15,history,8,2024-09-15 17:34:46.978746
THE TRUTHS WE HOLD,2024-09-15,biography & autobiography,9,2024-09-15 17:34:46.978746
BRAIDING SWEETGRASS,2024-09-15,nature,10,2024-09-15 17:34:46.978746
OUTLIVE,2024-09-15,health & fitness,11,2024-09-15 17:34:46.978746
THE DEVIL AT HIS ELBOW,2024-09-15,true crime,12,2024-09-15 17:34:46.978746
ON THE EDGE,2024-09-15,business & economics,13,2024-09-15 17:34:46.978746
THE EASTERN FRONT,2024-09-15,history,14,2024-09-15 17:34:46.978746
AN UNFINISHED LOVE STORY,2024-09-15,biography & autobiography,15,2024-09-15 17:34:46.978746
HILLBILLY ELEGY,2024-08-11,social science,1,2024-08-11 17:34:46.978746
"AUTOCRACY, INC.",2024-08-11,history,2,2024-08-11 17:34:46.978746
THE ANXIOUS GENERATION,2024-08-11,psychology,3,2024-08-11 17:34:46.978746
THE DEMON OF UNREST,2024-08-11,history,4,2024-08-11 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-08-11,medical,5,2024-08-11 17:34:46.978746
THE WAR ON WARRIORS,2024-08-11,biography & autobiography,6,2024-08-11 17:34:46.978746
THE ART THIEF,2024-08-11,biography & autobiography,7,2024-08-11 17:34:46.978746
CHAOS,2024-08-11,true crime,8,2024-08-11 17:34:46.978746
THE TRUTHS WE HOLD,2024-08-11,biography & autobiography,9,2024-08-11 17:34:46.978746
OUTLIVE,2024-08-11,health & fitness,10,2024-08-11 17:34:46.978746
NUCLEAR WAR,2024-08-11,history,12,2024-08-11 17:34:46.978746
EVERYTHING I KNOW ABOUT LOVE,2024-08-11,biography & autobiography,13,2024-08-11 17:34:46.978746
ON CALL,2024-08-11,biography & autobiography,14,2024-08-11 17:34:46.978746
AN UNFINISHED LOVE STORY,2024-08-11,biography & autobiography,15,2024-08-11 17:34:46.978746
ON CALL,2024-07-07,biography & autobiography,1,2024-07-07 17:34:46.978746
THE ANXIOUS GENERATION,2024-07-07,psychology,2,2024-07-07 17:34:46.978746
THE DEMON OF UNREST,2024-07-07,history,3,2024-07-07 17:34:46.978746
THE WAR ON WARRIORS,2024-07-07,biography & autobiography,4,2024-07-07 17:34:46.978746
LOVE & WHISKEY,2024-07-07,biography & autobiography,5,2024-07-07 17:34:46.978746
APPRENTICE IN WONDERLAND,2024-07-07,biography & autobiography,6,2024-07-07 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-07-07,medical,7,2024-07-07 17:34:46.978746
WHAT THIS COMEDIAN SAID WILL SHOCK YOU,2024-07-07,humor,8,2024-07-07 17:34:46.978746
THE FRIDAY AFTERNOON CLUB,2024-07-07,biography & autobiography,9,2024-07-07 17:34:46.978746
THE WAGER,2024-07-07,true crime,10,2024-07-07 17:34:46.978746
A WALK IN THE PARK,2024-07-07,biography & autobiography,11,2024-07-07 17:34:46.978746
THE SITUATION ROOM,2024-07-07,history,12,2024-07-07 17:34:46.978746
WHEN THE CLOCK BROKE,2024-07-07,history,13,2024-07-07 17:34:46.978746
OUTLIVE,2024-07-07,health & fitness,14,2024-07-07 17:34:46.978746
AN UNFINISHED LOVE STORY,2024-07-07,biography & autobiography,15,2024-07-07 17:34:46.978746
THE SITUATION ROOM,2024-06-02,history,1,2024-06-02 17:34:46.978746
THE DEMON OF UNREST,2024-06-02,history,2,2024-06-02 17:34:46.978746
THE ANXIOUS GENERATION,2024-06-02,psychology,3,2024-06-02 17:34:46.978746
YOU NEVER KNOW,2024-06-02,biography & autobiography,4,2024-06-02 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-06-02,medical,5,2024-06-02 17:34:46.978746
AN UNFINISHED LOVE STORY,2024-06-02,biography & autobiography,6,2024-06-02 17:34:46.978746
REBEL GIRL,2024-06-02,biography & autobiography,7,2024-06-02 17:34:46.978746
BITS AND PIECES,2024-06-02,biography & autobiography,9,2024-06-02 17:34:46.978746
CHALLENGER,2024-06-02,biography & autobiography,10,2024-06-02 17:34:46.978746
MORNING AFTER THE REVOLUTION,2024-06-02,political science,11,2024-06-02 17:34:46.978746
QUANTA AND FIELDS,2024-06-02,science,12,2024-06-02 17:34:46.978746
I'M GLAD MY MOM DIED,2024-06-02,biography & autobiography,13,2024-06-02 17:34:46.978746
DOWN WITH THE SYSTEM,2024-06-02,biography & autobiography,14,2024-06-02 17:34:46.978746
THE WAGER,2024-06-02,true crime,15,2024-06-02 17:34:46.978746
SOMEHOW,2024-04-28,"body, mind & spirit",1,2024-04-28 17:34:46.978746
THE ANXIOUS GENERATION,2024-04-28,psychology,2,2024-04-28 17:34:46.978746
THE WIDE WIDE SEA,2024-04-28,biography & autobiography,3,2024-04-28 17:34:46.978746
I'M GLAD MY MOM DIED,2024-04-28,biography & autobiography,4,2024-04-28 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-04-28,medical,5,2024-04-28 17:34:46.978746
THE WAGER,2024-04-28,true crime,7,2024-04-28 17:34:46.978746
THE AGE OF MAGICAL OVERTHINKING,2024-04-28,biography & autobiography,8,2024-04-28 17:34:46.978746
OUTLIVE,2024-04-28,health & fitness,9,2024-04-28 17:34:46.978746
KILLERS OF THE FLOWER MOON,2024-04-28,true crime,10,2024-04-28 17:34:46.978746
THE SECRET LIVES OF BOOKSELLERS AND LIBRARIANS,2024-04-28,biography & autobiography,11,2024-04-28 17:34:46.978746
NUCLEAR WAR,2024-04-28,history,12,2024-04-28 17:34:46.978746
BURN BOOK,2024-04-28,biography & autobiography,13,2024-04-28 17:34:46.978746
SOCIOPATH,2024-04-28,biography & autobiography,14,2024-04-28 17:34:46.978746
GET IT TOGETHER,2024-04-28,political science,15,2024-04-28 17:34:46.978746
THE HOUSE OF HIDDEN MEANINGS,2024-03-24,biography & autobiography,1,2024-03-24 17:34:46.978746
BLOOD MONEY,2024-03-24,history,2,2024-03-24 17:34:46.978746
THE WAGER,2024-03-24,true crime,3,2024-03-24 17:34:46.978746
THE TRUMP INDICTMENTS,2024-03-24,law,4,2024-03-24 17:34:46.978746
KILLERS OF THE FLOWER MOON,2024-03-24,true crime,5,2024-03-24 17:34:46.978746
OUTLIVE,2024-03-24,health & fitness,6,2024-03-24 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-03-24,medical,7,2024-03-24 17:34:46.978746
BURN BOOK,2024-03-24,biography & autobiography,8,2024-03-24 17:34:46.978746
OATH AND HONOR,2024-03-24,biography & autobiography,9,2024-03-24 17:34:46.978746
BAD THERAPY,2024-03-24,political science,10,2024-03-24 17:34:46.978746
THE BOYS IN THE BOAT,2024-03-24,sports & recreation,11,2024-03-24 17:34:46.978746
WHITE RURAL RAGE,2024-03-24,political science,12,2024-03-24 17:34:46.978746
10% HAPPIER,2024-03-24,biography & autobiography,13,2024-03-24 17:34:46.978746
THINK AGAIN,2024-03-24,business & economics,14,2024-03-24 17:34:46.978746
EVERYTHING I KNOW ABOUT LOVE,2024-03-24,biography & autobiography,15,2024-03-24 17:34:46.978746
KILLERS OF THE FLOWER MOON,2024-02-18,true crime,1,2024-02-18 17:34:46.978746
THE BOYS IN THE BOAT,2024-02-18,sports & recreation,2,2024-02-18 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-02-18,medical,3,2024-02-18 17:34:46.978746
THE WAGER,2024-02-18,true crime,4,2024-02-18 17:34:46.978746
OATH AND HONOR,2024-02-18,biography & autobiography,5,2024-02-18 17:34:46.978746
OUTLIVE,2024-02-18,health & fitness,6,2024-02-18 17:34:46.978746
CASTE,2024-02-18,social science,7,2024-02-18 17:34:46.978746
MASTERS OF THE AIR,2024-02-18,biography & autobiography,8,2024-02-18 17:34:46.978746
READ WRITE OWN,2024-02-18,business & economics,9,2024-02-18 17:34:46.978746
THE WOMAN IN ME,2024-02-18,biography & autobiography,10,2024-02-18 17:34:46.978746
THE GRIFT,2024-02-18,history,11,2024-02-18 17:34:46.978746
CAPOTE'S WOMEN,2024-02-18,biography & autobiography,12,2024-02-18 17:34:46.978746
EVERYTHING I KNOW ABOUT LOVE,2024-02-18,biography & autobiography,13,2024-02-18 17:34:46.978746
FIND ME THE VOTES,2024-02-18,political science,14,2024-02-18 17:34:46.978746
"THE KINGDOM, THE POWER, AND THE GLORY",2024-02-18,political science,15,2024-02-18 17:34:46.978746
THE WAGER,2024-01-14,true crime,1,2024-01-14 17:34:46.978746
OATH AND HONOR,2024-01-14,biography & autobiography,2,2024-01-14 17:34:46.978746
THE BOYS IN THE BOAT,2024-01-14,sports & recreation,3,2024-01-14 17:34:46.978746
THE WOMAN IN ME,2024-01-14,biography & autobiography,4,2024-01-14 17:34:46.978746
KILLERS OF THE FLOWER MOON,2024-01-14,true crime,5,2024-01-14 17:34:46.978746
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",2024-01-14,biography & autobiography,6,2024-01-14 17:34:46.978746
OUTLIVE,2024-01-14,health & fitness,7,2024-01-14 17:34:46.978746
ELON MUSK,2024-01-14,biography & autobiography,8,2024-01-14 17:34:46.978746
PREQUEL,2024-01-14,political science,9,2024-01-14 17:34:46.978746
THE BODY KEEPS THE SCORE,2024-01-14,medical,10,2024-01-14 17:34:46.978746
MY NAME IS BARBRA,2024-01-14,biography & autobiography,11,2024-01-14 17:34:46.978746
I'M GLAD MY MOM DIED,2024-01-14,biography & autobiography,12,2024-01-14 17:34:46.978746
"THE KINGDOM, THE POWER, AND THE GLORY",2024-01-14,political science,13,2024-01-14 17:34:46.978746
EVERYTHING I KNOW ABOUT LOVE,2024-01-14,biography & autobiography,14,2024-01-14 17:34:46.978746
THE WOMAN IN ME,2023-12-10,biography & autobiography,1,2023-12-10 17:34:46.978746
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",2023-12-10,biography & autobiography,2,2023-12-10 17:34:46.978746
KILLERS OF THE FLOWER MOON,2023-12-10,true crime,3,2023-12-10 17:34:46.978746
MY NAME IS BARBRA,2023-12-10,biography & autobiography,4,2023-12-10 17:34:46.978746
THE WAGER,2023-12-10,true crime,5,2023-12-10 17:34:46.978746
PREQUEL,2023-12-10,political science,6,2023-12-10 17:34:46.978746
ELON MUSK,2023-12-10,biography & autobiography,7,2023-12-10 17:34:46.978746
MY EFFIN' LIFE,2023-12-10,biography & autobiography,8,2023-12-10 17:34:46.978746
I'M GLAD MY MOM DIED,2023-12-10,biography & autobiography,9,2023-12-10 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-12-10,medical,10,2023-12-10 17:34:46.978746
OUTLIVE,2023-12-10,health & fitness,12,2023-12-10 17:34:46.978746
BEHIND THE SEAMS,2023-12-10,biography & autobiography,13,2023-12-10 17:34:46.978746
KILLING THE WITCHES,2023-12-10,history,14,2023-12-10 17:34:46.978746
TEDDY AND BOOKER T.,2023-12-10,history,15,2023-12-10 17:34:46.978746
AMERICAN PROMETHEUS,2023-08-27,biography & autobiography,1,2023-08-27 17:34:46.978746
KILLERS OF THE FLOWER MOON,2023-08-27,true crime,2,2023-08-27 17:34:46.978746
OUTLIVE,2023-08-27,health & fitness,3,2023-08-27 17:34:46.978746
THE WAGER,2023-08-27,true crime,4,2023-08-27 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-08-27,medical,5,2023-08-27 17:34:46.978746
I'M GLAD MY MOM DIED,2023-08-27,biography & autobiography,6,2023-08-27 17:34:46.978746
EVERYTHING I KNOW ABOUT LOVE,2023-08-27,biography & autobiography,7,2023-08-27 17:34:46.978746
BRAIDING SWEETGRASS,2023-08-27,nature,8,2023-08-27 17:34:46.978746
THE IN-BETWEEN,2023-08-27,biography & autobiography,9,2023-08-27 17:34:46.978746
BEYOND THE STORY,2023-08-27,biography & autobiography,10,2023-08-27 17:34:46.978746
BORN A CRIME,2023-08-27,biography & autobiography,11,2023-08-27 17:34:46.978746
ALL ABOUT LOVE,2023-08-27,family & relationships,12,2023-08-27 17:34:46.978746
PRISONERS OF THE CASTLE,2023-08-27,history,13,2023-08-27 17:34:46.978746
CRYING IN H MART,2023-08-27,biography & autobiography,14,2023-08-27 17:34:46.978746
THE GLASS CASTLE,2023-08-27,biography & autobiography,15,2023-08-27 17:34:46.978746
KILLERS OF THE FLOWER MOON,2023-07-23,true crime,1,2023-07-23 17:34:46.978746
THE WAGER,2023-07-23,true crime,2,2023-07-23 17:34:46.978746
OUTLIVE,2023-07-23,health & fitness,3,2023-07-23 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-07-23,medical,4,2023-07-23 17:34:46.978746
UNBROKEN BONDS OF BATTLE,2023-07-23,soldiers,5,2023-07-23 17:34:46.978746
I'M GLAD MY MOM DIED,2023-07-23,biography & autobiography,6,2023-07-23 17:34:46.978746
THE ART THIEF,2023-07-23,biography & autobiography,7,2023-07-23 17:34:46.978746
THE IN-BETWEEN,2023-07-23,biography & autobiography,8,2023-07-23 17:34:46.978746
CRYING IN H MART,2023-07-23,biography & autobiography,9,2023-07-23 17:34:46.978746
AMERICAN PROMETHEUS,2023-07-23,biography & autobiography,11,2023-07-23 17:34:46.978746
ALL ABOUT LOVE,2023-07-23,family & relationships,12,2023-07-23 17:34:46.978746
PAGEBOY,2023-07-23,biography & autobiography,13,2023-07-23 17:34:46.978746
BRAIDING SWEETGRASS,2023-07-23,nature,14,2023-07-23 17:34:46.978746
HAPPY-GO-LUCKY,2023-07-23,family & relationships,15,2023-07-23 17:34:46.978746
THE WAGER,2023-06-18,true crime,1,2023-06-18 17:34:46.978746
KILLERS OF THE FLOWER MOON,2023-06-18,true crime,2,2023-06-18 17:34:46.978746
OUTLIVE,2023-06-18,health & fitness,3,2023-06-18 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-06-18,medical,4,2023-06-18 17:34:46.978746
I'M GLAD MY MOM DIED,2023-06-18,biography & autobiography,5,2023-06-18 17:34:46.978746
CRYING IN H MART,2023-06-18,biography & autobiography,6,2023-06-18 17:34:46.978746
SPARE,2023-06-18,biography & autobiography,7,2023-06-18 17:34:46.978746
THE BOOK OF CHARLIE,2023-06-18,biography & autobiography,8,2023-06-18 17:34:46.978746
BRAIDING SWEETGRASS,2023-06-18,nature,9,2023-06-18 17:34:46.978746
QUIETLY HOSTILE,2023-06-18,humor,10,2023-06-18 17:34:46.978746
THE DADDY DIARIES,2023-06-18,biography & autobiography,11,2023-06-18 17:34:46.978746
KING: A LIFE,2023-06-18,biography & autobiography,12,2023-06-18 17:34:46.978746
THE LIGHT WE CARRY,2023-06-18,biography & autobiography,13,2023-06-18 17:34:46.978746
THE FORGOTTEN GIRLS,2023-06-18,biography & autobiography,14,2023-06-18 17:34:46.978746
HAPPY-GO-LUCKY,2023-06-18,family & relationships,15,2023-06-18 17:34:46.978746
THE WAGER,2023-05-14,true crime,1,2023-05-14 17:34:46.978746
OUTLIVE,2023-05-14,health & fitness,2,2023-05-14 17:34:46.978746
THE LIGHT WE CARRY,2023-05-14,biography & autobiography,3,2023-05-14 17:34:46.978746
GREENLIGHTS,2023-05-14,biography & autobiography,4,2023-05-14 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-05-14,medical,5,2023-05-14 17:34:46.978746
CRYING IN H MART,2023-05-14,biography & autobiography,6,2023-05-14 17:34:46.978746
YOU CAN'T JOKE ABOUT THAT,2023-05-14,humor,7,2023-05-14 17:34:46.978746
DON'T TELL ANYBODY THE SECRETS I TOLD YOU,2023-05-14,biography & autobiography,8,2023-05-14 17:34:46.978746
I'M GLAD MY MOM DIED,2023-05-14,biography & autobiography,9,2023-05-14 17:34:46.978746
SPARE,2023-05-14,biography & autobiography,10,2023-05-14 17:34:46.978746
KILLERS OF THE FLOWER MOON,2023-05-14,true crime,11,2023-05-14 17:34:46.978746
"POVERTY, BY AMERICA",2023-05-14,social science,12,2023-05-14 17:34:46.978746
"HONEY, BABY, MINE",2023-05-14,biography & autobiography,13,2023-05-14 17:34:46.978746
A FEVER IN THE HEARTLAND,2023-05-14,history,14,2023-05-14 17:34:46.978746
PROJECT 562,2023-05-14,photography,15,2023-05-14 17:34:46.978746
"POVERTY, BY AMERICA",2023-04-09,social science,1,2023-04-09 17:34:46.978746
SAVED,2023-04-09,biography & autobiography,2,2023-04-09 17:34:46.978746
SPARE,2023-04-09,biography & autobiography,3,2023-04-09 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-04-09,medical,4,2023-04-09 17:34:46.978746
I'M GLAD MY MOM DIED,2023-04-09,biography & autobiography,5,2023-04-09 17:34:46.978746
THE LIGHT WE CARRY,2023-04-09,biography & autobiography,8,2023-04-09 17:34:46.978746
THE BEST STRANGERS IN THE WORLD,2023-04-09,biography & autobiography,9,2023-04-09 17:34:46.978746
ALL ABOUT LOVE,2023-04-09,family & relationships,10,2023-04-09 17:34:46.978746
BRAIDING SWEETGRASS,2023-04-09,nature,11,2023-04-09 17:34:46.978746
