bookID,title,authors,average_rating,isbn,isbn13,category
9841,Making Globalization Work,Joseph E. Stiglitz,3.85,0393061221,9.78039E+12,Business & Economics
37087,A New History of Early English Drama,John D. Cox/David Scott Kastan/Stephen Greenblatt,4.05,0231102437,9.78023E+12,Drama
24442,Heathersleigh Homecoming (Secrets of Heathersleigh Hall  #3),Michael R. Phillips,4.33,0764222376,9.78076E+12,Religion
25693,Agricola/Germany,Tacitus/Anthony Richard Birley,3.99,0192833006,9.78019E+12,History
10404,Doctor Who: Cat's Cradle-Witch Mark,Andrew    Hunt,3.22,0426203682,9.78043E+12,Performing Arts
35115,Sliding Scales (Pip & Flinx #10),Alan Dean Foster,3.88,0345461584,9.78035E+12,Fiction
16799,The Best American Science Writing 2002,Matt Ridley/Jesse Cohen/Alan Lightman/Joseph D'Agnese,3.85,0060936509,9.78006E+12,
35514,Myths of Light: Eastern Metaphors of the Eternal (Collected Work),Joseph Campbell/David Kudler,4.43,1577314034,9.78158E+12,Religion
43331,He Sees You When You're Sleeping,Mary Higgins Clark/Carol Higgins Clark,3.79,0743456866,9.78074E+12,
22472,Discourse on the Origin of Inequality,Jean-Jacques Rousseau,3.82,0486434141,9.78049E+12,Philosophy
43759,La regina dei dannati,Anne Rice/Roberta Rambelli,3.89,8878193283,9.78888E+12,Fiction
40343,The Full Box (Full  #1-4),Janet Evanovich/Charlotte Hughes,4.29,1593979266,9.78159E+12,Juvenile Fiction
5205,A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,3.81,0385720106,9.78039E+12,Fiction
7806,Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.22,0691089574,9.78069E+12,Literary Criticism
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,0898709199,9.7809E+12,Fiction
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,0465051367,9.78047E+12,Psychology
6224,The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford,4.19,1586420216,9.78159E+12,Fiction
28162,Bound In Blood: The Erotic Journey of a Vampire,David Thomas Lord,3.35,1575667649,9.78158E+12,Fiction
24188,Secrets of the Scorpion,Jed Carleton/Shawn Carman/Seth Mason/Robert    Lee/Travis Heerman/Aaron Medwin/Matthew S. Armstrong/D.J. Trindle/Cris Dornaus/Eric Steiger,3.68,1887953795,9.78189E+12,
36160,Crown of Shadows (The Coldfire Trilogy  #3),C.S. Friedman,4.17,0756403189,9.78076E+12,Fiction
12843,The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe,Carlos Castañeda,4.03,074341280X,9.78074E+12,"Body, Mind & Spirit"
28660,The Curse of the Mistwraith (Wars of Light and Shadow  #1),Janny Wurts,3.76,0586210695,9.78059E+12,Fiction
43437,McSweeney's #19,Dave Eggers/T. Coraghessan Boyle/Adam Golaski/Sean Casey/Brendan Connell,3.8,193241648X,9.78193E+12,Humor
2934,Robinson Crusoe,Daniel Defoe/Michael Shinagel,3.67,0393964523,9.78039E+12,
2494,The Time Machine,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner,3.89,0141439971,9.78014E+12,Comics & Graphic Novels
13853,The Lion  the Witch and the Wardrobe,C.S. Lewis/Pauline Baynes,4.21,0060530839,9.78006E+12,
